problem,url,contest,year,solved by % (live contestants),acceptance rate %,solved by (in contest),contest tries,live contestants,topics
Clean Streets,https://codeforces.com/gym/106178/problem/C,2025-2026 ICPC Latin American Regional Programming Contest,2025,"0,8960573477","15,15151515",5,33,558,Sweep-line; Data Structures; Coordinate Compression
Lonely Creatures,https://codeforces.com/gym/106178/problem/L,2025-2026 ICPC Latin American Regional Programming Contest,2025,"0,7168458781","2,094240838",4,191,558,Computational Geometry; Sweep-line; Data Structures; Coordinate Compression
Infiltration Route,https://codeforces.com/gym/106178/problem/I,2025-2026 ICPC Latin American Regional Programming Contest,2025,"0,1792114695","0,78125",1,128,558,Dynamic Programming; Graph Theory; Bitwise Operations
Displaying Decimals,https://codeforces.com/gym/106178/problem/D,2025-2026 ICPC Latin American Regional Programming Contest,2025,0,0,0,9,558,Number Theory; Data Structures
Gridoland Power Gauge,https://codeforces.com/gym/106178/problem/G,2025-2026 ICPC Latin American Regional Programming Contest,2025,0,0,0,18,558,Network Flow; Binary Search; Mathematics
Dominoes,https://codeforces.com/gym/106073/problem/D,The 2025 ICPC South America - Brazil First Phase,2025,"1,432664756","45,45454545",20,44,1396,Graph Theory; Dynamic Programming; Bitwise Operations
"Knockout, swiss and other kinds of tournaments",https://codeforces.com/gym/106073/problem/K,The 2025 ICPC South America - Brazil First Phase,2025,"0,787965616","5,729166667",11,192,1396,Dynamic Programming; Number Theory; Bitwise Operations
Generating patterns,https://codeforces.com/gym/106073/problem/G,The 2025 ICPC South America - Brazil First Phase,2025,"0,4297994269","54,54545455",6,11,1396,Mathematics; Exhaustive Search / Backtracking; Bitwise Operations
Baralho Alho,https://codeforces.com/gym/106073/problem/B,The 2025 ICPC South America - Brazil First Phase,2025,0,0,0,91,1396,Number Theory; String Algorithms; Mathematics
Expansion of the road network,https://codeforces.com/gym/106073/problem/E,The 2025 ICPC South America - Brazil First Phase,2025,0,0,0,73,1396,Graph Theory; Trees; Network Flow
Diverse T-Shirts,https://codeforces.com/gym/105505/problem/D,2024-2025 ICPC Latin American Regional Programming Contest,2024,"1,556420233","8,333333333",8,96,514,Graph Theory; Network Flow
Inversion Insight,https://codeforces.com/gym/105505/problem/I,2024-2025 ICPC Latin American Regional Programming Contest,2024,"0,5836575875","37,5",3,8,514,Dynamic Programming; Greedy; Data Structures; Combinatorics
Heraclosures,https://codeforces.com/gym/105505/problem/H,2024-2025 ICPC Latin American Regional Programming Contest,2024,"0,3891050584","14,28571429",2,14,514,Dynamic Programming; Graph Theory; Square Root Decomposition
Biketopia's Cyclic Track,https://codeforces.com/gym/105505/problem/B,2024-2025 ICPC Latin American Regional Programming Contest,2024,0,0,0,9,514,Graph Theory
Cindy's Christmas Challenge,https://codeforces.com/gym/105505/problem/C,2024-2025 ICPC Latin American Regional Programming Contest,2024,0,0,0,6,514,Dynamic Programming; Binary Search; Data Structures
Health in Hazard,https://codeforces.com/gym/104736/problem/H,2023-2024 ACM-ICPC Latin American Regional Programming Contest,2023,"3,183023873","66,66666667",12,18,377,Computational Geometry; Binary Search
Latam++,https://codeforces.com/gym/104736/problem/L,2023-2024 ACM-ICPC Latin American Regional Programming Contest,2023,"1,591511936","37,5",6,16,377,Greedy; String Algorithms; Data Structures
Keen on Order,https://codeforces.com/gym/104736/problem/K,2023-2024 ACM-ICPC Latin American Regional Programming Contest,2023,"1,326259947","21,73913043",5,23,377,Exhaustive Search / Backtracking; Greedy; Bitwise Operations
Elevated Profits,https://codeforces.com/gym/104736/problem/E,2023-2024 ACM-ICPC Latin American Regional Programming Contest,2023,"0,2652519894","9,090909091",1,11,377,Greedy; Data Structures; Trees
Analyzing Contracts,https://codeforces.com/gym/104736/problem/A,2023-2024 ACM-ICPC Latin American Regional Programming Contest,2023,"0,2652519894","2,564102564",1,39,377,Data Structures; Divide and Conquer; Optimization Techniques; Binary Search
Honest Worker,https://codeforces.com/gym/104555/problem/H,2023-2024 ICPC Brazil Subregional Programming Contest,2023,"2,066486972","58,97435897",23,39,1113,Dynamic Programming; Sweep-line; Data Structures; Coordinate Compression
Best Fair Shuffles,https://codeforces.com/gym/104555/problem/B,2023-2024 ICPC Brazil Subregional Programming Contest,2023,"1,078167116","36,36363636",12,33,1113,Greedy; Mathematics
"K for More, K for Less",https://codeforces.com/gym/104555/problem/K,2023-2024 ICPC Brazil Subregional Programming Contest,2023,"0,8984725966","47,61904762",10,21,1113,Mathematics; Combinatorics
Detour,https://codeforces.com/gym/104555/problem/D,2023-2024 ICPC Brazil Subregional Programming Contest,2023,"0,7187780773","14,28571429",8,56,1113,Graph Theory
Jumping to Victory,https://codeforces.com/gym/104555/problem/J,2023-2024 ICPC Brazil Subregional Programming Contest,2023,"0,08984725966","12,5",1,8,1113,Computational Geometry; Data Structures
Kind Baker,https://codeforces.com/gym/104252/problem/K,2022-2023 ACM-ICPC Latin American Regional Programming Contest,2022,"4,573170732","65,2173913",15,23,328,Constructive Algorithms; Bitwise Operations
Board Game,https://codeforces.com/gym/104252/problem/B,2022-2023 ACM-ICPC Latin American Regional Programming Contest,2022,"3,658536585","35,29411765",12,34,328,Data Structures; Binary Search; Optimization Techniques
Favorite Tree,https://codeforces.com/gym/104252/problem/F,2022-2023 ACM-ICPC Latin American Regional Programming Contest,2022,"2,134146341",35,7,20,328,Trees; Dynamic Programming; Network Flow
Gravitational Wave Detector,https://codeforces.com/gym/104252/problem/G,2022-2023 ACM-ICPC Latin American Regional Programming Contest,2022,"1,829268293",100,6,6,328,Computational Geometry; Binary Search
Joining a Marathon,https://codeforces.com/gym/104252/problem/J,2022-2023 ACM-ICPC Latin American Regional Programming Contest,2022,0,0,0,17,328,Exhaustive Search / Backtracking; Optimization Techniques
Listing Tedious Paths,https://codeforces.com/gym/103960/problem/L,2022-2023 ICPC Brazil Subregional Programming Contest,2022,"1,365853659","60,86956522",14,23,1025,Trees; Data Structures
Fun with Stones,https://codeforces.com/gym/103960/problem/B,2022-2023 ICPC Brazil Subregional Programming Contest,2022,"0,9756097561","90,90909091",10,11,1025,Dynamic Programming; Bitwise Operations; Number Theory
Geometry of Triangles,https://codeforces.com/gym/103960/problem/G,2022-2023 ICPC Brazil Subregional Programming Contest,2022,"0,6829268293","41,17647059",7,17,1025,Computational Geometry; Trees; Dynamic Programming; Graph Theory
Hopscotch Marathon,https://codeforces.com/gym/103960/problem/M,2022-2023 ICPC Brazil Subregional Programming Contest,2022,"0,5853658537","16,66666667",6,36,1025,Binary Search; Number Theory; Combinatorics
"Kalel, the Jumping Frog",https://codeforces.com/gym/103960/problem/K,2022-2023 ICPC Brazil Subregional Programming Contest,2022,"0,09756097561","14,28571429",1,7,1025,Dynamic Programming; Mathematics
